feature,coefficient,abs_coefficient
numeric__AMT_GOODS_PRICE,-1.027967202390522,1.027967202390522
numeric__AMT_CREDIT,0.9323326317921314,0.9323326317921314
categorical__ORGANIZATION_TYPE_Transport: type 3,0.7608924730017982,0.7608924730017982
categorical__ORGANIZATION_TYPE_Military,-0.6396268492939216,0.6396268492939216
categorical__ORGANIZATION_TYPE_Realtor,0.5021224531332962,0.5021224531332962
numeric__DAYS_EMPLOYED,0.47559500986971964,0.47559500986971964
numeric__EXT_SOURCE_3,-0.4675071959999188,0.4675071959999188
categorical__ORGANIZATION_TYPE_Police,-0.45229718983377365,0.45229718983377365
categorical__ORGANIZATION_TYPE_Security Ministries,-0.42775307755027503,0.42775307755027503
categorical__CODE_GENDER_F,-0.42627150268923714,0.42627150268923714
categorical__FLAG_OWN_CAR_Y,-0.40813511525065116,0.40813511525065116
categorical__NAME_INCOME_TYPE_Pensioner,-0.40373300650278243,0.40373300650278243
numeric__EXT_SOURCE_2,-0.3859415269909364,0.3859415269909364
categorical__NAME_HOUSING_TYPE_Office apartment,-0.35491279846891616,0.35491279846891616
categorical__ORGANIZATION_TYPE_Construction,0.3333925789051175,0.3333925789051175
categorical__ORGANIZATION_TYPE_Trade: type 2,-0.31734594496027413,0.31734594496027413
categorical__ORGANIZATION_TYPE_Legal Services,0.31384824525086374,0.31384824525086374
numeric__FLAG_EMP_PHONE,0.28523156890815743,0.28523156890815743
categorical__FLAG_OWN_REALTY_N,-0.28389258277913365,0.28389258277913365
categorical__ORGANIZATION_TYPE_Trade: type 6,-0.2820191531813878,0.2820191531813878
categorical__ORGANIZATION_TYPE_Industry: type 9,-0.2797964407123585,0.2797964407123585
categorical__NAME_CONTRACT_TYPE_Revolving loans,-0.2751445543903445,0.2751445543903445
categorical__HOUSETYPE_MODE_terraced house,-0.27455858820861495,0.27455858820861495
categorical__NAME_EDUCATION_TYPE_Academic degree,-0.26924902984414195,0.26924902984414195
categorical__EMERGENCYSTATE_MODE_Yes,-0.2690220888761756,0.2690220888761756
categorical__EMERGENCYSTATE_MODE_No,-0.26236109080019393,0.26236109080019393
categorical__NAME_EDUCATION_TYPE_Higher education,-0.2584022834603329,0.2584022834603329
categorical__NAME_CONTRACT_TYPE_Cash loans,-0.2562386252861629,0.2562386252861629
categorical__FLAG_OWN_REALTY_Y,-0.2474905968973783,0.2474905968973783
categorical__OCCUPATION_TYPE_Accountants,-0.2473686192649161,0.2473686192649161
categorical__OCCUPATION_TYPE_Private service staff,-0.2381954974653137,0.2381954974653137
categorical__OCCUPATION_TYPE_Low-skill Laborers,0.23415124764162007,0.23415124764162007
categorical__ORGANIZATION_TYPE_Industry: type 5,-0.23406309025667163,0.23406309025667163
categorical__NAME_FAMILY_STATUS_Married,-0.23342665450980432,0.23342665450980432
categorical__WALLSMATERIAL_MODE_Monolithic,-0.22968148378914915,0.22968148378914915
categorical__ORGANIZATION_TYPE_Industry: type 12,-0.22859811704857103,0.22859811704857103
categorical__ORGANIZATION_TYPE_XNA,-0.22755956718403536,0.22755956718403536
categorical__ORGANIZATION_TYPE_Self-employed,0.22202915867772682,0.22202915867772682
numeric__BASEMENTAREA_MEDI,0.21841213525207243,0.21841213525207243
categorical__ORGANIZATION_TYPE_Industry: type 1,0.21389668017008504,0.21389668017008504
categorical__ORGANIZATION_TYPE_Restaurant,0.20686260299541578,0.20686260299541578
categorical__ORGANIZATION_TYPE_Hotel,-0.2067575878836079,0.2067575878836079
numeric__BASEMENTAREA_AVG,-0.2065702572210587,0.2065702572210587
categorical__FONDKAPREMONT_MODE_reg oper spec account,-0.20000472498829283,0.20000472498829283
categorical__ORGANIZATION_TYPE_Trade: type 3,0.19169029526552728,0.19169029526552728
categorical__ORGANIZATION_TYPE_Industry: type 3,0.19015545319751145,0.19015545319751145
categorical__ORGANIZATION_TYPE_Bank,-0.189350977624368,0.189350977624368
categorical__NAME_TYPE_SUITE_Other_A,-0.17868116512896182,0.17868116512896182
categorical__ORGANIZATION_TYPE_Cleaning,0.17697206487194428,0.17697206487194428
categorical__OCCUPATION_TYPE_High skill tech staff,-0.17327174271251727,0.17327174271251727
categorical__ORGANIZATION_TYPE_Advertising,0.17290997716101078,0.17290997716101078
numeric__ELEVATORS_MODE,0.16720536347066753,0.16720536347066753
categorical__ORGANIZATION_TYPE_Trade: type 7,0.16391196241257766,0.16391196241257766
categorical__ORGANIZATION_TYPE_School,-0.1605714571221822,0.1605714571221822
categorical__HOUSETYPE_MODE_block of flats,-0.15978347989160357,0.15978347989160357
numeric__YEARS_BUILD_AVG,0.15945309725682186,0.15945309725682186
numeric__YEARS_BUILD_MEDI,-0.158338562842963,0.158338562842963
