risk_decile,n_observations,mean_predicted_probability,observed_bad_rate,calibration_error,absolute_calibration_error,ci_lower_95,ci_upper_95,ci_width_95,predicted_probability_inside_95_ci,min_predicted_probability,max_predicted_probability,bad_count
1,6151,0.013575961670872732,0.014306616810274751,0.0007306551394020196,0.0007306551394020196,0.011627571560941212,0.01759193961963644,0.005964368058695229,True,7.740343112822986e-12,0.0189972381983659,88
2,6150,0.023239056831677922,0.02048780487804878,-0.0027512519536291406,0.0027512519536291406,0.017235116488159802,0.02433915228894368,0.007104035800783878,True,0.0190021300268288,0.0273449181248753,126
3,6150,0.03148004388124084,0.03121951219512195,-0.0002605316861188922,0.0002605316861188922,0.02715719070099027,0.03586709444122383,0.00870990374023356,True,0.0273455763095535,0.0355776602584879,192
4,6150,0.04009231876118356,0.036422764227642276,-0.003669554533541286,0.003669554533541286,0.03202257576154981,0.041401717315263376,0.009379141553713569,True,0.035578500364739,0.0448431908125133,224
5,6151,0.05013894362736506,0.04860998211672899,-0.0015289615106360704,0.0015289615106360704,0.04351176425353987,0.05427165760181541,0.01075989334827554,True,0.0448436349848482,0.0557480665796575,299
6,6150,0.06248886628244586,0.06292682926829268,0.0004379629858468209,0.0004379629858468209,0.05712645654941547,0.06927287694426178,0.012146420394846306,True,0.0557524859521464,0.0699809288654238,387
7,6150,0.0791333403872481,0.07739837398373983,-0.001734966403508273,0.001734966403508273,0.07098048170330853,0.08434387385847239,0.013363392155163856,True,0.0699875317354636,0.0893202485225743,476
8,6150,0.1025621913293815,0.11040650406504066,0.00784431273565915,0.00784431273565915,0.10281581335527147,0.1184835925416224,0.015667779186350927,False,0.0893226626788486,0.1179737716418798,679
9,6150,0.1421414784741741,0.1432520325203252,0.0011105540461510965,0.0011105540461510965,0.13471899729538495,0.15223045868866564,0.01751146139328069,True,0.1179741305391561,0.1743874621806523,881
10,6151,0.2593844590152481,0.2622337831246952,0.0028493241094471045,0.0028493241094471045,0.2513925544751143,0.2733718087388086,0.021979254263694292,True,0.1744022982451139,0.7563722813863443,1613
