RISK_BAND,observations,defaults,observed_default_rate,ci_lower,ci_upper,confidence_level,n_bootstrap
1,6151,88,0.014306616810274751,0.011380263371809462,0.017232970248740043,0.95,1000
2,6150,126,0.02048780487804878,0.01707317073170732,0.023902439024390244,0.95,1000
3,6150,192,0.03121951219512195,0.026991869918699188,0.035934959349593495,0.95,1000
4,6150,224,0.036422764227642276,0.03186991869918699,0.04097560975609756,0.95,1000
5,6151,299,0.04860998211672899,0.04324500081287595,0.054462688993659567,0.95,1000
6,6150,387,0.06292682926829268,0.057069105691056915,0.06910569105691057,0.95,1000
7,6150,476,0.07739837398373983,0.07040650406504065,0.08373983739837398,0.95,1000
8,6150,679,0.11040650406504066,0.10259756097560975,0.11821138211382114,0.95,1000
9,6150,881,0.1432520325203252,0.13414634146341464,0.15154878048780487,0.95,1000
10,6151,1613,0.2622337831246952,0.2510079661843603,0.2731263209234271,0.95,1000
