RISK_BAND,observations,predicted_pd,observed_default_rate,defaults,population_share,default_capture,cumulative_default_capture,monotonic_with_previous
1,6151,0.013575961670872735,0.014306616810274751,88,0.10001138155862316,0.01772406847935549,0.01772406847935549,True
2,6150,0.023239056831677922,0.02048780487804878,126,0.0999951221891615,0.025377643504531724,0.04310171198388721,True
3,6150,0.03148004388124084,0.03121951219512195,192,0.0999951221891615,0.03867069486404834,0.08177240684793555,True
4,6150,0.04009231876118356,0.036422764227642276,224,0.0999951221891615,0.04511581067472306,0.1268882175226586,True
5,6151,0.05013894362736506,0.04860998211672899,299,0.10001138155862316,0.06022155085599194,0.18710976837865056,True
6,6150,0.06248886628244586,0.06292682926829268,387,0.0999951221891615,0.07794561933534744,0.265055387713998,True
7,6150,0.07913334038724812,0.07739837398373983,476,0.0999951221891615,0.0958710976837865,0.3609264853977845,True
8,6150,0.1025621913293815,0.11040650406504066,679,0.0999951221891615,0.13675730110775428,0.4976837865055388,True
9,6150,0.14214147847417408,0.1432520325203252,881,0.0999951221891615,0.17744209466263847,0.6751258811681773,True
10,6151,0.2593844590152481,0.2622337831246952,1613,0.10001138155862316,0.32487411883182277,1.0,True
