segment,segment_value,observations,default_rate,roc_auc,pr_auc,gini,ks
CODE_GENDER,F,40561,0.06991938068588052,0.7390435571806584,0.2036090136547299,0.4780871143613168,0.35547817934891823
CODE_GENDER,M,20940,0.10167144221585482,0.7484947982850545,0.2589610674067866,0.496989596570109,0.3694753119951527
NAME_CONTRACT_TYPE,Cash loans,55672,0.08350696939215405,0.7476993228756885,0.23380844651813473,0.49539864575137704,0.37204600709661023
NAME_CONTRACT_TYPE,Revolving loans,5831,0.054193105813754076,0.7364231038479635,0.1356099786918805,0.472846207695927,0.3718144990073104
NAME_INCOME_TYPE,Commercial associate,14344,0.0705521472392638,0.7474108329805313,0.20099901157691558,0.4948216659610627,0.37494292907551624
NAME_INCOME_TYPE,Pensioner,11228,0.05495190594941218,0.707566854799009,0.15460537725331508,0.4151337095980181,0.3129560208382879
NAME_INCOME_TYPE,State servant,4185,0.053763440860215055,0.7498709315375982,0.18609022093534322,0.4997418630751964,0.37222222222222223
NAME_INCOME_TYPE,Working,31731,0.09788534871261542,0.7439317168910997,0.25323779303996824,0.48786343378219943,0.3651401850763559
NAME_EDUCATION_TYPE,Higher education,15061,0.05198857977557931,0.7447021263768514,0.15856009814128172,0.4894042527537028,0.38524209203237947
NAME_EDUCATION_TYPE,Incomplete higher,1988,0.0789738430583501,0.7450733475494579,0.22031967759117468,0.49014669509891573,0.39570107177519503
NAME_EDUCATION_TYPE,Lower secondary,791,0.10366624525916561,0.7233478963844645,0.2465963421362843,0.446695792768929,0.343441466854725
NAME_EDUCATION_TYPE,Secondary / secondary special,43623,0.09036517433463999,0.7407545558886406,0.2410083824931934,0.4815091117772812,0.36115866501099697
