threshold,flagged_count,flagged_rate,approval_rate,precision,recall,fpr,specificity,default_rate_flagged
0.01,60367,0.981529356291563,0.018470643708436988,0.08209783490980171,0.9981873111782478,0.9800665039442499,0.019933496055750115,0.08209783490980171
0.02,54629,0.8882330943206023,0.11176690567939775,0.0888905160262864,0.9780463242698892,0.8803459620078531,0.11965403799214687,0.0888905160262864
0.03,47265,0.7684990976049949,0.23150090239500512,0.09935470221093833,0.9458207452165156,0.7529272347801479,0.24707276521985214,0.09935470221093833
0.05,33867,0.5506560655577777,0.4493439344422223,0.12398500014763635,0.8457200402819738,0.5247444196823375,0.47525558031766246,0.12398500014763635
0.075,22819,0.3710225517454433,0.6289774482545567,0.15425741706472676,0.7089627391742196,0.34134564363790726,0.6586543563620928,0.15425741706472676
0.1,15843,0.257597190380957,0.7424028096190429,0.18424540806665404,0.5879154078549849,0.22858962113976442,0.7714103788602356,0.18424540806665404
0.15,8191,0.1331804952603938,0.8668195047396062,0.23733365889390795,0.3915407854984894,0.1104920584385723,0.8895079415614278,0.23733365889390795
0.2,4546,0.07391509357267124,0.9260849064273288,0.28574571051473824,0.26163141993957706,0.05743040079238742,0.9425695992076126,0.28574571051473824
0.3,1458,0.02370616067508902,0.976293839324911,0.36488340192043894,0.10715005035246727,0.01637836499345573,0.9836216350065443,0.36488340192043894
0.4,455,0.007398013105051786,0.9926019868949482,0.45714285714285713,0.0418932527693857,0.004368743146202554,0.9956312568537975,0.45714285714285713
0.5,105,0.001707233793473489,0.9982927662065265,0.5714285714285714,0.012084592145015106,0.000795924864692773,0.9992040751353072,0.5714285714285714
