segment_feature,segment,segment_n,segment_bad_count,segment_bad_rate,segment_roc_auc,complement_n,complement_bad_count,complement_bad_rate,complement_roc_auc,auc_difference,ci_lower,ci_upper,confidence_level,n_bootstraps,significance_status
AMT_CREDIT,"(270000.0, 512064.0]",15071,1424,0.09448609913078097,0.7520067072402628,46432,3541,0.07626206064782909,0.7452132574279781,0.006793449812284691,-0.00879604265728812,0.02222145513879561,0.95,1000,NOT_SIGNIFICANT
AMT_CREDIT,"(44999.999, 270000.0]",15704,1119,0.07125573102394295,0.740448261294075,45799,3846,0.08397563265573484,0.7506881478033656,-0.01023988650929053,-0.02648023199235027,0.00576370261206883,0.95,1000,NOT_SIGNIFICANT
AMT_CREDIT,"(512064.0, 808650.0]",15685,1485,0.09467644246094996,0.7478684023331911,45818,3480,0.07595268235191409,0.7474062253794449,0.00046217695374617396,-0.015812475136231078,0.01498493257695524,0.95,1000,NOT_SIGNIFICANT
AMT_CREDIT,"(808650.0, 4050000.0]",15043,937,0.06228810742538057,0.7361889193590049,46460,4028,0.0866982350408954,0.7482732170526526,-0.012084297693647716,-0.02966127256171904,0.006777705232754831,0.95,1000,NOT_SIGNIFICANT
AMT_INCOME_TOTAL,"(112500.0, 146250.0]",10678,921,0.08625210713616782,0.7358121572451617,50825,4044,0.07956714215445156,0.7509467267255419,-0.015134569480380167,-0.03395473059128846,0.003379311071062183,0.95,1000,NOT_SIGNIFICANT
AMT_INCOME_TOTAL,"(146250.0, 202500.0]",16356,1387,0.08480068476400097,0.7416777658687363,45147,3578,0.07925222052406583,0.7507970174543013,-0.009119251585564925,-0.02501181507011366,0.006426491180487183,0.95,1000,NOT_SIGNIFICANT
AMT_INCOME_TOTAL,"(202500.0, 13500000.0]",14394,1015,0.0705154925663471,0.7726502492509952,47109,3950,0.08384809696660936,0.7407371623502264,0.03191308690076888,0.016407513049475745,0.0479795312285802,0.95,1000,SIGNIFICANT_POSITIVE
AMT_INCOME_TOTAL,"(25649.999, 112500.0]",20075,1642,0.08179327521793275,0.7430412132876395,41428,3323,0.08021145119243024,0.7510209585682023,-0.007979745280562778,-0.022066207422849846,0.00783266717687333,0.95,1000,NOT_SIGNIFICANT
DAYS_BIRTH,"(-12457.0, -7680.0]",15370,1654,0.10761223162003904,0.7326077136367629,46133,3311,0.07177074978865454,0.7463078498152841,-0.013700136178521172,-0.02899183885006036,0.0010694180064380653,0.95,1000,NOT_SIGNIFICANT
DAYS_BIRTH,"(-15771.0, -12457.0]",15375,1306,0.0849430894308943,0.7567287326071885,46128,3659,0.07932275407561568,0.7452543411389227,0.011474391468265788,-0.0035695168729078697,0.026804818672691785,0.95,1000,NOT_SIGNIFICANT
DAYS_BIRTH,"(-19710.0, -15771.0]",15381,1154,0.07502763149340094,0.7522953219882765,46122,3811,0.08262868045618144,0.74671845662382,0.0055768653644565624,-0.011486605772018642,0.020239488635031794,0.95,1000,NOT_SIGNIFICANT
DAYS_BIRTH,"(-25201.001, -19710.0]",15377,851,0.05534239448527021,0.7072131934747095,46126,4114,0.08919047825521398,0.7504573374433705,-0.04324414396866105,-0.06329759822860861,-0.023290825851979873,0.95,1000,SIGNIFICANT_NEGATIVE
EXT_SOURCE_2,"(-0.000995, 0.394]",15344,2217,0.14448644421272158,0.7156365871468553,46159,2748,0.0595333521090145,0.7226704475287608,-0.007033860381905455,-0.021064612196859834,0.007260777772602905,0.95,1000,NOT_SIGNIFICANT
EXT_SOURCE_2,"(0.394, 0.566]",15343,1245,0.08114449586130483,0.703868103994927,46160,3720,0.0805892547660312,0.7612386810475004,-0.05737057705257331,-0.07294892260118836,-0.042462878108058086,0.95,1000,SIGNIFICANT_NEGATIVE
EXT_SOURCE_2,"(0.566, 0.664]",15344,913,0.05950208550573514,0.7127094123085852,46159,4052,0.08778353083905631,0.7526877010153538,-0.03997828870676856,-0.05760560702015024,-0.021418367087790557,0.95,1000,SIGNIFICANT_NEGATIVE
EXT_SOURCE_2,"(0.664, 0.855]",15343,579,0.03773707879814899,0.6985525637912131,46160,4386,0.09501733102253034,0.7348958985893105,-0.03634333479809737,-0.06060028124964921,-0.012173677750843928,0.95,1000,SIGNIFICANT_NEGATIVE
EXT_SOURCE_3,"(-0.000473, 0.369]",12350,1864,0.15093117408906884,0.7105490746296513,49153,3101,0.06308872296706203,0.7273339522001305,-0.016784877570479195,-0.03232989547181358,-0.0016669104196769668,0.95,1000,SIGNIFICANT_NEGATIVE
EXT_SOURCE_3,"(0.369, 0.537]",12329,896,0.07267418282099115,0.7033411271882146,49174,4069,0.08274698011144101,0.7579227671954865,-0.05458164000727184,-0.07322833878893106,-0.03557459044356677,0.95,1000,SIGNIFICANT_NEGATIVE
EXT_SOURCE_3,"(0.537, 0.669]",12450,607,0.04875502008032129,0.7057013499379095,49053,4358,0.08884268036613459,0.7475270382128507,-0.041825688274941264,-0.06393569120708528,-0.020283536693792133,0.95,1000,SIGNIFICANT_NEGATIVE
EXT_SOURCE_3,"(0.669, 0.883]",12214,449,0.03676109382675618,0.7102388364567055,49289,4516,0.09162287731542534,0.7360056932800093,-0.02576685682330382,-0.05387949642344126,-0.0010679322680508868,0.95,1000,SIGNIFICANT_NEGATIVE
